sku_num,coef,sku_num_obj,sku_brand,Brand_ID
0,0.2532943739980197,0,MODLB01GR1_US-1,1
1,0.0,1,MODSSBL_US-1,1
2,0.17922565013032618,2,MODLB01GR2_US-1,1
3,-0.0043369308897983575,3,EO-AT4L-NSFF_US-2,2
4,-0.03362481764144875,4,IP-JZEN-Z9U7_US-2,2
5,-0.01795846260507664,5,FH-VUKQ-0WI8_US-2,2
6,0.14262489195495442,6,NL-CDSN-RPTU_US-2,2
7,-0.0004109196749925225,7,HC-26W0-DKN7_US-2,2
8,-0.021481475370282388,8,35-VKDQ-XFY5_US-2,2
9,0.08429026200956675,9,1A-9NRD-LNPZ_US-2,2
10,-0.0006879280485629112,10,PW-9UTZ-RQTS_US-2,2
11,0.0,11,32-3UKH-ECDR_US-2,2
12,0.0,12,C4-V0FE-HX5V_US-3,3
13,0.05615649166897293,13,bebe-8-antitip-straps_US-4,4
14,0.08787038257887332,14,bebe-edging-c6m_US-4,4
15,0.1255952582706598,15,bebe-edging-b6m_US-4,4
16,0.12527146708169185,16,matt_prot_king_US-5,5
17,0.0,17,1O-B60B-RXKA_US-6,6
18,0.0,18,M2-DW10-J56C_US-6,6
19,0.2590079736003833,19,NU-BRWM-BX8B_US-7,7
20,0.0,20,KO-QD42-WO8V_US-8,8
21,0.22694406882651402,21,HK-WCS-PREM-1-BK_US-3,3
22,0.046056114910849356,22,9U-R37V-YYXC_US-9,9
23,0.22049289754616233,23,6I-BG43-G5AJ_US-10,10
24,0.08862411172775095,24,77-PJ4D-9SM5_US-11,11
25,0.9549522508430375,25,54-6279-TWV8_US-3,3
26,0.0,26,4J-1SOS-KLZI_US-7,7
27,1.1721219902460576,27,GBBIBv2_US-4,4
28,0.0,28,non bleed 22_US-7,7
30,1.3134701983122807,30,CBBpinkwhite_US-13,13
31,0.10521751543617368,31,matt_prot_queen_US-5,5
32,0.5066127605724496,32,matt_prot_twin_US-5,5
35,0.11861266734533168,35,acrylic paint-24_US-7,7
36,0.28106869903483994,36,G9-2VFM-8XU7_US-2,2
37,0.0,37,RL-VQW5-1233_US-8,8
38,0.0,38,C5-VOFE-HX5V_US-3,3
40,0.33087981192314037,40,CBBbluegrey_US-13,13
41,0.0,41,C6-V0FE-HX5V_US-16,16
42,0.019566827094235163,42,24 PACK_US-7,7
43,0.0,43,3G-P6H5-KXKI_US-7,7
44,0.43060740386016155,44,65-KLWN-KLO2_US-2,2
45,0.20622611721203532,45,1V-WTBZ-V9EK_US-7,7
46,0.0,46,C8-Q8XT-261O_US-11,11
47,0.0,47,FH-HJQ5-1ARQ_US-6,6
51,1.0483025841489586,51,Q3-KJKS-V28G_US-17,17
52,0.6002945594804533,52,matt_prot_rv_queen_US-5,5
53,0.1894366225763656,53,acrylic paint-12_US-7,7
54,0.7464607917448668,54,03-JZ2O-FGHU_US-7,7
55,0.3155143248682929,55,Q3-KJKS-PLUS_US-17,17
56,0.6571274998240174,56,CBBgreywhite_US-13,13
57,0.38173014594725846,57,Black_Small_Saddle_US-18,18
58,0.0,58,K7-BMBN-6HXK_US-18,18
59,0.0,59,8Z-8HK5-2W2M_US-8,8
60,0.5144850684901828,60,matt_prot_full_US-5,5
62,0.5731909109630452,62,matt_prot_calking_US-5,5
63,0.0,63,FO-3WAH-4IJT_US-6,6
64,0.0,64,SimElep_US-19,19
65,0.8539198520734902,65,YSBC01_US-20,20
70,0.09710050644850311,70,HK-MAP-GRANITE-1-BK_US-3,3
71,0.0,71,3U-4ND4-RCLH_US-20,20
72,0.0,72,HX-E74W-DJRY_US-2,2
74,0.0,74,E3-MOI6-EOK7_US-7,7
75,-0.0010428853328220387,75,PB-O245-ID0D_US-2,2
76,0.0,76,6E-XV8D-X0VL_US-18,18
77,0.16325074896316902,77,12 SET_US-7,7
78,0.0,78,1G-AK4D-IW28_US-2,2
79,0.2502148578042095,79,KS-6Z9V-O4CK_US-2,2
80,0.0,80,FU-MMUX-QJ1R_US-2,2
81,0.618530541359359,81,T3-G725-7TW7_US-2,2
82,0.4188198741983624,82,JL-AEWE-8OLX_US-2,2
83,0.4486252357578911,83,58-A3XG-L6JU_US-2,2
85,0.3166407417558835,85,88-O4YO-UG1R_US-2,2
86,0.08649061822683672,86,C4-LE5U-IM39_US-11,11
87,1.0415616174911149,87,HC-UL1H-PRGZ_US-17,17
88,0.9681701585738376,88,women-bike-saddle-white_US-18,18
89,1.6472318210032049,89,CI-CL54-9A83_US-11,11
90,0.0,90,C22-V0FE-HX5V_US-3,3
91,0.0,91,C23-V0FE-HX5V_US-3,3
92,0.0,92,C8-V0FE-HX5V_US-3,3
93,0.0,93,C19-V0FE-HX5V_US-3,3
94,0.0,94,C14-V0FE-HX5V_US-3,3
95,1.000610828536489,95,C11-V0FE-HX5V_US-3,3
96,0.0,96,C15-V0FE-HX5V_US-3,3
97,0.0,97,C24-V0FE-HX5V_US-3,3
98,0.0,98,C9-V0FE-HX5V_US-3,3
